codigo,nombre,localidad,provincia,pais,latitud,longitud
SABE,Aeroparque Jorge Newbery,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,-34.5592,-58.4156
SAEZ,Aeropuerto Int. Ministro Pistarini,Ezeiza,Buenos Aires,Argentina,-34.8222,-58.5358
SACO,Aeropuerto Int. Ingeniero Ambrosio Taravella,Córdoba,Córdoba,Argentina,-31.323601,-64.208
SAAR,Aeropuerto Int. de Rosario Islas Malvinas,Rosario,Santa Fe,Argentina,-32.9036,-60.785
SAME,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Mendoza,Mendoza,Argentina,-32.8316993713,-68.7929000854
SAWE,Aeropuerto Gdor. Ramon Trejo Noel,Río Grande,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Argentina,-53.7777,-67.7494
SAWG,Aeropuerto Int. Piloto Civil Norberto Fernández,Río Gallegos,Santa Cruz,Argentina,-51.6089,-69.3126
SAZS,Aeropuerto Int. Tte. Luis Candelaria,San Carlos de Bariloche,Río Negro,Argentina,-41.151199,-71.157501
SASA,Aeropuerto Int. Martín Miguel de Güemes,Salta,Salta,Argentina,-24.8560009003,-65.4861984253
SAZN,Aeropuerto Int. Presidente Perón,Neuquén,Neuquén,Argentina,-38.949001,-68.155701
SAAV,Aeropuerto de Sauce Viejo,Santa Fe,Santa Fe,Argentina,-31.7117,-60.8117
SANC,Aeropuerto Coronel Felipe Varela,San Fernando del Valle de Catamarca,Catamarca,Argentina,-28.5956001282,-65.751701355
SANE,Aeropuerto Vcom. Angel de la Paz Aragonés,Santiago del Estero,Santiago del Estero,Argentina,-27.7655563354,-64.3099975586
SANL,Aeropuerto Cap. Vicente Almandos Amonacid,La Rioja,La Rioja,Argentina,-29.3815994263,-66.7957992554
SANT,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,San Miguel de Tucumán,Tucumán,Argentina,-26.8409,-65.104897
SANU,Aeropuerto Domingo Faustino Sarmiento,San Juan,San Juan,Argentina,-31.571501,-68.418198
SAOU,Aeropuerto Brig. Mayor D. César Raul Ojeda,San Luis,San Luis,Argentina,-33.2732009888,-66.3563995361
SARE,Aeropuerto Int. de Resistencia/José de San Martín,Resistencia,Chaco,Argentina,-27.45,-59.0561
SARF,Aeropuerto Int. de Formosa/El Pucú,Formosa,Formosa,Argentina,-26.2127,-58.2281
SARI,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Puerto Iguazú,Misiones,Argentina,-25.737301,-54.4734
SARP,Aeropuerto Libertador Gral. D. José de San Martín,Posadas,Misiones,Argentina,-27.3858,-55.9707
SASJ,Aeropuerto Int. Gdor. Horacio Guzmán,San Salvador de Jujuy,Jujuy,Argentina,-24.392799,-65.097801
SAVC,Aeropuerto Int. Gral. Enrique Mosconi,Comodoro Rivadavia,Chubut,Argentina,-45.7853,-67.4655
SAVT,Aeropuerto Almirante Zar,Trelew,Chubut,Argentina,-43.2105,-65.2703
SAVV,Aeropuerto Gobernador Castello,Viedma,Río Negro,Argentina,-40.8692,-63.0004
SAWC,Aeropuerto Comte. Armando Tola,El Calafate,Santa Cruz,Argentina,-50.2803,-72.053101
SAWH,Aeropuerto Int. Malvinas Argentinas,Ushuaia,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Argentina,-54.8433,-68.2958
SAZB,Aeropuerto Comandante Espora,Bahía Blanca,Buenos Aires,Argentina,-38.725,-62.1693
SAZM,Aeropuerto Int. Astor Piazolla,Mar del Plata,Buenos Aires,Argentina,-37.9342,-57.5733
SAZY,Aeropuerto Aviador C. Campos,San Martín de los Andes,Neuquén,Argentina,-40.075401,-71.137299
SARC,Aeropuerto Int. Dr. Fernando Piragine Niveyro,Corrientes,Corrientes,Argentina,-27.4455,-58.7619
SAWP,Aeropuerto Jalil Hamer,Perito Moreno,Santa Cruz,Argentina,-46.537899,-70.978699
SAAP,Aeropuerto Gral. Urquiza,Paraná,Entre Ríos,Argentina,-31.7948,-60.4804
SAVE,Aeropuerto Brigadier General Antonio Parodi,Esquel,Chubut,Argentina,-42.908000946,-71.139503479
SAVY,Aeropuerto El Tehuelche,Puerto Madryn,Chubut,Argentina,-42.7592,-65.1027
SAZR,Aeropuerto Santa Rosa,Santa Rosa,La Pampa,Argentina,-36.588299,-64.275703
SAMR,Aeropuerto S.A. Santiago Germano,San Rafael,Mendoza,Argentina,-34.588299,-68.4039
SANH,Aeropuerto Int. Termas de Río Hondo,Rio Hondo,Santiago del Estero,Argentina,-27.4737,-64.905502
SAOC,Aeropuerto Área de Material,Río Cuarto,Córdoba,Argentina,-33.0850982666,-64.2612991333
SAOS,Aeropuerto Int. Valle del Conlara,Merlo,San Luis,Argentina,-32.3847007751,-65.1865005493
EGYP,Aeropuerto Islas Malvinas,Puerto Argentino,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Argentina,-51.8227996826172,-58.4472007751465
SADP,Aeropuerto El Palomar,El Palomar,Buenos Aires,Argentina,-34.6099,-58.6126
SATR,Aeropuerto Teniente Daniel Jukic,Reconquista,Santa Fe,Argentina,-29.2103,-59.68
SADF,Aeropuerto Int. de San Fernando,San Fernando,Buenos Aires,Argentina,-34.4532,-58.5896
SAMM,Aeropuerto Int. Comod. Ricardo Salomón,Malargue,Mendoza,Argentina,-35.493598938,-69.5743026733
SADM,Aeropuerto de Morón,Moron,Buenos Aires,Argentina,-34.6763,-58.6428
SAWM,Aeródromo de Río Mayo,Río Mayo,Chubut,Argentina,-45.7038993835,-70.2455978394
SAFS,Aeródromo Comandante Hilario Valinotti,Sunchales,Santa Fe,Argentina,-30.9575,-61.5283
SAWU,Aeropuerto de Puerto Santa Cruz,Santa Cruz,Santa Cruz,Argentina,-50.0165,-68.5792
