anio,mes,ruta,clasificacion_vuelo,origen_localidad,origen_provincia,destino_localidad,destino_provincia,pasajeros,asientos,vuelos,factor_ocupacion
2017,1,Amsterdam - Ezeiza,internacional,Amsterdam,,Ezeiza,Buenos Aires,7907,9027,22,0.8759
2017,1,Asunción - Ciudad de Buenos Aires,internacional,Asunción,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2321,3028,30,0.7665
2017,1,Asunción - Córdoba,internacional,Asunción,,Córdoba,Córdoba,1732,5382,18,0.3218
2017,1,Asunción - Ezeiza,internacional,Asunción,,Ezeiza,Buenos Aires,8618,13292,92,0.6484
2017,1,Atlanta - Ezeiza,internacional,Atlanta,,Ezeiza,Buenos Aires,7029,9083,31,0.7739
2017,1,Auckland - Ezeiza,internacional,Auckland,,Ezeiza,Buenos Aires,4328,5436,18,0.7962
2017,1,Bahía Blanca - Ciudad de Buenos Aires,cabotaje,Bahía Blanca,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,12366,14456,122,0.8554
2017,1,Bahía Blanca - Ezeiza,cabotaje,Bahía Blanca,Buenos Aires,Ezeiza,Buenos Aires,69,84,1,0.8214
2017,1,Barcelona - Ezeiza,internacional,Barcelona,,Ezeiza,Buenos Aires,4715,6070,21,0.7768
2017,1,Bogotá - Ezeiza,internacional,Bogotá,,Ezeiza,Buenos Aires,15952,19808,79,0.8053
2017,1,Brasilia - Ezeiza,internacional,Brasilia,,Ezeiza,Buenos Aires,5047,6715,30,0.7516
2017,1,Cabo Frio - Ezeiza,internacional,Cabo Frio,,Ezeiza,Buenos Aires,98,165,1,0.5939
2017,1,Cancún - Ezeiza,internacional,Cancún,,Ezeiza,Buenos Aires,4684,5467,19,0.8568
2017,1,Caracas - Ezeiza,internacional,Caracas,,Ezeiza,Buenos Aires,3548,4716,9,0.7523
2017,1,Cayo Coco - Ezeiza,internacional,Cayo Coco,,Ezeiza,Buenos Aires,60,303,1,0.198
2017,1,Ciudad de Buenos Aires - Asunción,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Asunción,,2541,3284,32,0.7738
2017,1,Ciudad de Buenos Aires - Bahía Blanca,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Bahía Blanca,Buenos Aires,11108,14939,123,0.7436
2017,1,Ciudad de Buenos Aires - Cabo Frio,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cabo Frio,,163,165,1,0.9879
2017,1,Ciudad de Buenos Aires - Comodoro Rivadavia,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Comodoro Rivadavia,Chubut,17605,22451,176,0.7842
2017,1,Ciudad de Buenos Aires - Corrientes,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Corrientes,Corrientes,4009,5561,53,0.7209
2017,1,Ciudad de Buenos Aires - Curitiba,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Curitiba,,2070,2282,23,0.9071
2017,1,Ciudad de Buenos Aires - Córdoba,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Córdoba,Córdoba,44687,54179,380,0.8248
2017,1,Ciudad de Buenos Aires - El Calafate,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,El Calafate,Santa Cruz,23142,27148,180,0.8524
2017,1,Ciudad de Buenos Aires - Esquel,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Esquel,Chubut,2666,3401,27,0.7839
2017,1,Ciudad de Buenos Aires - Florianópolis,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Florianópolis,,10771,12405,73,0.8683
