anio,mes,ruta,clasificacion_vuelo,aerolinea,origen_localidad,origen_provincia,destino_localidad,destino_provincia,pasajeros,asientos,vuelos,factor_ocupacion
2017,1,Amsterdam - Ezeiza,internacional,KLM,Amsterdam,,Ezeiza,Buenos Aires,7907,9027,22,0.8759
2017,1,Asunción - Ciudad de Buenos Aires,internacional,Aerolíneas Argentinas,Asunción,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,2321,3028,30,0.7665
2017,1,Asunción - Córdoba,internacional,Air Europa,Asunción,,Córdoba,Córdoba,1732,5382,18,0.3218
2017,1,Asunción - Ezeiza,internacional,Aerolíneas Argentinas,Asunción,,Ezeiza,Buenos Aires,2390,3242,32,0.7372
2017,1,Asunción - Ezeiza,internacional,LATAM,Asunción,,Ezeiza,Buenos Aires,6228,10050,60,0.6197
2017,1,Atlanta - Ezeiza,internacional,Delta Air Lines,Atlanta,,Ezeiza,Buenos Aires,7029,9083,31,0.7739
2017,1,Auckland - Ezeiza,internacional,Air New Zealand,Auckland,,Ezeiza,Buenos Aires,4328,5436,18,0.7962
2017,1,Bahía Blanca - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Bahía Blanca,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,9000,10080,93,0.8929
2017,1,Bahía Blanca - Ciudad de Buenos Aires,cabotaje,Andes Líneas Aéreas,Bahía Blanca,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,83,83,1,1.0
2017,1,Bahía Blanca - Ciudad de Buenos Aires,cabotaje,LATAM,Bahía Blanca,Buenos Aires,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,3283,4293,28,0.7647
2017,1,Bahía Blanca - Ezeiza,cabotaje,LATAM,Bahía Blanca,Buenos Aires,Ezeiza,Buenos Aires,69,84,1,0.8214
2017,1,Barcelona - Ezeiza,internacional,Aerolíneas Argentinas,Barcelona,,Ezeiza,Buenos Aires,4715,6070,21,0.7768
2017,1,Bogotá - Ezeiza,internacional,Aerolíneas Argentinas,Bogotá,,Ezeiza,Buenos Aires,5159,6736,24,0.7659
